Model,Epoch,Validation Accuracy
LSTM,1,50.05
LSTM,2,53.52
LSTM,3,54.5
LSTM,4,57.17
LSTM,5,60.38
LSTM,6,61.83
LSTM,7,59.52
LSTM,8,60.3
LSTM,9,72.03
LSTM,10,72.22
LSTM,11,73.78
LSTM,12,65.42
LSTM,13,74.78
LSTM,14,74.05
LSTM,15,74.4
LSTM,16,74.95
LSTM,17,72.75
LSTM,18,73.6
LSTM,19,74.43
LSTM,20,72.58
LSTM,21,71.45
LSTM,22,75.37
LSTM,23,74.32
LSTM,24,74.82
LSTM,25,74.17
LSTM,26,74.67
LSTM,27,74.52
LSTM,28,76.4
LSTM,29,74.0
LSTM,30,75.35
LSTM,31,75.82
LSTM,32,74.43
LSTM,33,74.48
LSTM,34,75.98
LSTM,35,74.07
LSTM,36,74.2
LSTM,37,76.58
LSTM,38,73.27
LSTM,39,75.2
LSTM,40,75.05
LSTM,41,73.83
LSTM,42,74.1
LSTM,43,75.7
LSTM,44,74.17
LSTM,45,75.13
LSTM,46,74.93
LSTM,47,75.75
LSTM,48,74.85
LSTM,49,74.85
LSTM,50,75.0
LSTM,51,76.02
LSTM,52,74.4
LSTM,53,75.45
LSTM,54,76.0
LSTM,55,75.28
LSTM,56,74.5
LSTM,57,76.23
LSTM,58,74.37
LSTM,59,73.93
LSTM,60,74.28
LSTM,61,77.42
LSTM,62,76.42
LSTM,63,74.43
LSTM,64,73.87
LSTM,65,74.75
LSTM,66,75.57
LSTM,67,75.88
LSTM,68,75.75
LSTM,69,74.73
LSTM,70,76.55
LSTM,71,75.08
LSTM,72,74.22
LSTM,73,75.2
LSTM,74,77.28
LSTM,75,74.13
LSTM,76,76.08
LSTM,77,75.08
LSTM,78,74.13
Mamba,1,58.83
Mamba,2,73.8
Mamba,3,74.32
Mamba,4,74.37
Mamba,5,75.17
Mamba,6,75.33
Mamba,7,74.78
Mamba,8,76.13
Mamba,9,75.2
Mamba,10,75.3
Mamba,11,74.52
Mamba,12,75.05
Mamba,13,74.67
Mamba,14,76.35
Mamba,15,74.63
Mamba,16,74.65
Mamba,17,75.98
Mamba,18,74.87
Mamba,19,75.47
Mamba,20,74.33
Mamba,21,75.25
Mamba,22,76.23
Mamba,23,75.02
Mamba,24,75.77
Mamba,25,75.4
Mamba,26,76.3
Mamba,27,76.78
Mamba,28,75.93
Mamba,29,76.28
Mamba,30,74.6
Mamba,31,76.25
Mamba,32,76.95
Mamba,33,75.6
Mamba,34,75.72
Mamba,35,75.83
Mamba,36,75.77
Mamba,37,75.28
Mamba,38,76.17
Mamba,39,74.3
Mamba,40,76.35
Mamba,41,75.32
Mamba,42,75.73
Mamba,43,74.82
Mamba,44,74.67
Mamba,45,75.7
Mamba,46,77.85
Mamba,47,76.08
Mamba,48,78.22
Mamba,49,77.13
Mamba,50,77.33
Mamba,51,75.85
Mamba,52,76.1
Mamba,53,78.33
Mamba,54,75.53
Mamba,55,76.47
Mamba,56,78.05
Mamba,57,76.28
Mamba,58,77.53
Mamba,59,75.77
Mamba,60,78.75
Mamba,61,77.17
Mamba,62,78.48
Mamba,63,77.62
Mamba,64,78.75
Mamba,65,77.75
Mamba,66,78.67
Mamba,67,75.82
Mamba,68,77.25
Mamba,69,77.42
Mamba,70,78.67
Mamba,71,75.05
Mamba,72,77.73
Mamba,73,77.12
Mamba,74,79.03
Mamba,75,79.38
Mamba,76,75.78
Mamba,77,78.35
Mamba,78,76.82
Mamba,79,76.13
Mamba,80,79.57
Mamba,81,75.65
Mamba,82,78.78
Mamba,83,79.0
Mamba,84,77.03
Mamba,85,78.35
Mamba,86,79.03
Mamba,87,78.68
Mamba,88,79.18
Mamba,89,77.48
Mamba,90,76.68
Mamba,91,78.33
Mamba,92,78.32
Mamba,93,76.83
Mamba,94,79.2
Mamba,95,76.9
Mamba,96,76.1
Mamba,97,79.32
Mamba,98,78.22
Mamba,99,79.58
Mamba,100,79.58
