model,max_val_accuracy,best_epoch,epochs_trained,final_val_loss,params,memory_mb,training_time_s,early_stopping,lr_reductions,no_thrust_precision,no_thrust_recall,no_thrust_f1,chemical_precision,chemical_recall,chemical_f1,electric_precision,electric_recall,electric_f1,impulsive_precision,impulsive_recall,impulsive_f1,macro_avg_precision,macro_avg_recall,macro_avg_f1,weighted_avg_precision,weighted_avg_recall,weighted_avg_f1,t_no_thrust_precision,t_no_thrust_recall,t_no_thrust_f1,t_chemical_precision,t_chemical_recall,t_chemical_f1,t_electric_precision,t_electric_recall,t_electric_f1,t_impulsive_precision,t_impulsive_recall,t_impulsive_f1
Decision Trees,73.38,1,1,0.3483,0,1.344132423400879,,False,0,0.4649,0.5766,0.5147,1.0,1.0,1.0,0.4729,0.364,0.4114,1.0,1.0,1.0,0.7344,0.7351,0.7315,0.7343,0.7338,0.7308,847.0,0.0,622.0,0.0,1466.0,0.0,975.0,0.0,558.0,0.0,0.0,0.0
LSTM,78.32,90,101,0.3458,14788,0.112823486328125,465.3592,False,0,0.5223,0.5099,0.516,1.0,1.0,1.0,0.5408,0.5532,0.5469,1.0,1.0,1.0,0.7658,0.7658,0.7657,0.7657,0.7658,0.7657,749.0,0.0,720.0,0.0,1466.0,0.0,685.0,0.0,848.0,0.0,0.0,0.0
Mamba,90.37,100,101,0.2,7963,0.06075286865234375,1067.6102,False,0,0.8049,0.8005,0.8027,1.0,1.0,1.0,0.8099,0.8141,0.812,1.0,1.0,1.0,0.9037,0.9037,0.9037,0.9037,0.9037,0.9037,1176.0,0.0,293.0,0.0,1466.0,0.0,285.0,0.0,1248.0,0.0,0.0,0.0
