Model,Epoch,Validation Accuracy
LSTM,1,51.28
LSTM,2,53.17
LSTM,3,51.47
LSTM,4,53.62
LSTM,5,54.72
LSTM,6,58.27
LSTM,7,60.57
LSTM,8,68.75
LSTM,9,69.28
LSTM,10,69.98
LSTM,11,70.22
LSTM,12,70.92
LSTM,13,73.05
LSTM,14,73.05
LSTM,15,73.97
LSTM,16,72.82
LSTM,17,74.6
LSTM,18,73.73
LSTM,19,74.4
LSTM,20,73.4
LSTM,21,75.17
LSTM,22,75.58
LSTM,23,75.3
LSTM,24,73.98
LSTM,25,75.47
LSTM,26,74.6
LSTM,27,76.1
LSTM,28,74.18
LSTM,29,72.17
LSTM,30,76.27
LSTM,31,71.7
LSTM,32,73.6
LSTM,33,74.1
LSTM,34,71.97
LSTM,35,73.92
LSTM,36,73.7
LSTM,37,74.53
LSTM,38,74.4
LSTM,39,74.7
LSTM,40,76.25
LSTM,41,75.57
LSTM,42,76.02
LSTM,43,74.95
LSTM,44,75.9
LSTM,45,76.0
LSTM,46,75.63
LSTM,47,72.0
LSTM,48,76.55
LSTM,49,73.93
LSTM,50,76.08
LSTM,51,75.97
LSTM,52,75.92
LSTM,53,74.28
LSTM,54,75.17
LSTM,55,76.03
LSTM,56,75.35
LSTM,57,74.07
LSTM,58,75.4
LSTM,59,75.65
LSTM,60,75.27
LSTM,61,75.88
LSTM,62,76.23
LSTM,63,76.32
LSTM,64,75.93
LSTM,65,76.25
LSTM,66,73.9
LSTM,67,75.98
LSTM,68,74.62
LSTM,69,75.88
LSTM,70,76.28
LSTM,71,75.82
LSTM,72,74.47
LSTM,73,76.33
LSTM,74,75.92
LSTM,75,75.78
LSTM,76,74.68
LSTM,77,74.63
LSTM,78,76.05
LSTM,79,75.85
LSTM,80,76.2
LSTM,81,75.58
LSTM,82,74.58
LSTM,83,76.27
LSTM,84,76.35
LSTM,85,76.55
LSTM,86,75.5
LSTM,87,75.97
LSTM,88,76.45
LSTM,89,76.25
LSTM,90,76.13
LSTM,91,75.85
LSTM,92,76.27
LSTM,93,76.23
LSTM,94,75.95
LSTM,95,76.37
Mamba,1,55.55
Mamba,2,75.12
Mamba,3,74.32
Mamba,4,74.5
Mamba,5,74.88
Mamba,6,74.3
Mamba,7,75.97
Mamba,8,75.12
Mamba,9,75.43
Mamba,10,74.62
Mamba,11,75.08
Mamba,12,74.77
Mamba,13,75.17
Mamba,14,76.12
Mamba,15,75.27
Mamba,16,75.45
Mamba,17,75.77
Mamba,18,76.45
Mamba,19,74.7
Mamba,20,75.67
Mamba,21,73.92
Mamba,22,75.15
Mamba,23,75.17
Mamba,24,75.87
Mamba,25,75.22
Mamba,26,75.35
Mamba,27,76.57
Mamba,28,75.53
Mamba,29,76.23
Mamba,30,75.9
Mamba,31,75.23
Mamba,32,75.62
Mamba,33,74.3
Mamba,34,76.63
Mamba,35,77.0
Mamba,36,76.58
Mamba,37,76.88
Mamba,38,76.25
Mamba,39,75.97
Mamba,40,76.62
Mamba,41,75.62
Mamba,42,77.0
Mamba,43,76.32
Mamba,44,76.12
Mamba,45,76.87
Mamba,46,76.32
Mamba,47,77.32
Mamba,48,76.9
Mamba,49,75.62
Mamba,50,77.62
Mamba,51,76.98
Mamba,52,76.85
Mamba,53,76.15
Mamba,54,75.57
Mamba,55,76.77
Mamba,56,77.1
Mamba,57,76.03
Mamba,58,77.4
Mamba,59,76.6
Mamba,60,76.57
Mamba,61,77.15
Mamba,62,76.03
Mamba,63,75.45
Mamba,64,76.58
Mamba,65,77.45
Mamba,66,76.07
Mamba,67,77.02
Mamba,68,77.07
Mamba,69,77.08
Mamba,70,76.6
Mamba,71,76.85
Mamba,72,77.58
Mamba,73,77.4
Mamba,74,77.23
Mamba,75,77.28
Mamba,76,76.53
Mamba,77,77.35
Mamba,78,76.47
Mamba,79,76.03
Mamba,80,76.88
Mamba,81,77.0
Mamba,82,76.07
Mamba,83,77.65
Mamba,84,77.78
Mamba,85,76.9
Mamba,86,76.5
Mamba,87,77.37
Mamba,88,77.28
Mamba,89,76.98
Mamba,90,77.5
Mamba,91,77.63
Mamba,92,77.6
Mamba,93,77.58
Mamba,94,77.28
