Model,Epoch,Validation Accuracy
LSTM,1,13.33
LSTM,2,15.0
LSTM,3,21.67
LSTM,4,38.33
LSTM,5,38.33
LSTM,6,58.33
LSTM,7,38.33
LSTM,8,56.67
LSTM,9,40.0
LSTM,10,40.0
LSTM,11,38.33
LSTM,12,38.33
LSTM,13,51.67
LSTM,14,61.67
LSTM,15,48.33
LSTM,16,60.0
LSTM,17,50.0
LSTM,18,53.33
LSTM,19,50.0
LSTM,20,51.67
LSTM,21,53.33
LSTM,22,51.67
LSTM,23,50.0
LSTM,24,63.33
LSTM,25,50.0
LSTM,26,58.33
LSTM,27,51.67
LSTM,28,65.0
LSTM,29,58.33
LSTM,30,58.33
LSTM,31,51.67
LSTM,32,65.0
LSTM,33,61.67
LSTM,34,58.33
LSTM,35,60.0
LSTM,36,60.0
LSTM,37,43.33
LSTM,38,50.0
LSTM,39,50.0
LSTM,40,65.0
LSTM,41,51.67
LSTM,42,51.67
LSTM,43,60.0
LSTM,44,51.67
LSTM,45,65.0
LSTM,46,61.67
LSTM,47,60.0
LSTM,48,60.0
LSTM,49,51.67
LSTM,50,51.67
LSTM,51,65.0
LSTM,52,60.0
LSTM,53,56.67
LSTM,54,65.0
LSTM,55,50.0
LSTM,56,51.67
LSTM,57,61.67
LSTM,58,58.33
LSTM,59,65.0
LSTM,60,51.67
LSTM,61,51.67
LSTM,62,50.0
LSTM,63,61.67
LSTM,64,63.33
LSTM,65,58.33
LSTM,66,65.0
LSTM,67,63.33
LSTM,68,50.0
LSTM,69,63.33
LSTM,70,55.0
LSTM,71,50.0
LSTM,72,55.0
LSTM,73,63.33
LSTM,74,50.0
LSTM,75,63.33
LSTM,76,51.67
LSTM,77,63.33
LSTM,78,51.67
LSTM,79,61.67
LSTM,80,56.67
LSTM,81,63.33
LSTM,82,51.67
LSTM,83,65.0
LSTM,84,51.67
LSTM,85,58.33
Mamba,1,61.67
Mamba,2,65.0
Mamba,3,65.0
Mamba,4,41.67
Mamba,5,43.33
Mamba,6,63.33
Mamba,7,63.33
Mamba,8,51.67
Mamba,9,65.0
Mamba,10,51.67
Mamba,11,58.33
Mamba,12,51.67
Mamba,13,65.0
Mamba,14,65.0
Mamba,15,60.0
Mamba,16,58.33
Mamba,17,68.33
Mamba,18,60.0
Mamba,19,65.0
Mamba,20,63.33
Mamba,21,63.33
Mamba,22,65.0
Mamba,23,61.67
Mamba,24,60.0
Mamba,25,55.0
Mamba,26,61.67
Mamba,27,61.67
Mamba,28,60.0
Mamba,29,61.67
Mamba,30,60.0
Mamba,31,63.33
Mamba,32,60.0
Mamba,33,63.33
Mamba,34,66.67
Mamba,35,61.67
Mamba,36,63.33
Mamba,37,61.67
Mamba,38,63.33
Mamba,39,60.0
Mamba,40,65.0
Mamba,41,63.33
Mamba,42,63.33
Mamba,43,61.67
Mamba,44,60.0
Mamba,45,61.67
Mamba,46,63.33
Mamba,47,63.33
Mamba,48,61.67
Mamba,49,66.67
Mamba,50,63.33
Mamba,51,60.0
Mamba,52,65.0
Mamba,53,65.0
Mamba,54,65.0
Mamba,55,61.67
Mamba,56,68.33
Mamba,57,63.33
Mamba,58,65.0
Mamba,59,68.33
Mamba,60,63.33
Mamba,61,65.0
Mamba,62,66.67
Mamba,63,65.0
Mamba,64,70.0
Mamba,65,61.67
Mamba,66,60.0
Mamba,67,65.0
Mamba,68,63.33
Mamba,69,63.33
Mamba,70,68.33
Mamba,71,60.0
Mamba,72,65.0
Mamba,73,60.0
Mamba,74,65.0
Mamba,75,58.33
Mamba,76,70.0
Mamba,77,63.33
Mamba,78,63.33
Mamba,79,68.33
Mamba,80,66.67
Mamba,81,61.67
Mamba,82,65.0
Mamba,83,63.33
Mamba,84,63.33
Mamba,85,65.0
Mamba,86,66.67
