Model,Epoch,Validation Accuracy
LSTM,1.0,75.38
LSTM,2.0,75.3
LSTM,3.0,74.32
LSTM,4.0,75.87
LSTM,5.0,78.53
LSTM,6.0,75.68
LSTM,7.0,74.22
LSTM,8.0,75.13
LSTM,9.0,75.48
LSTM,10.0,83.0
LSTM,11.0,75.02
LSTM,12.0,76.57
LSTM,13.0,83.27
LSTM,14.0,86.25
LSTM,15.0,88.13
LSTM,16.0,88.68
LSTM,17.0,91.73
LSTM,18.0,88.67
LSTM,19.0,94.88
LSTM,20.0,95.57
LSTM,21.0,94.52
LSTM,22.0,97.63
LSTM,23.0,82.0
LSTM,24.0,92.85
LSTM,25.0,97.65
LSTM,26.0,91.07
LSTM,27.0,90.63
LSTM,28.0,96.92
LSTM,29.0,98.53
LSTM,30.0,97.1
LSTM,31.0,98.33
LSTM,32.0,99.13
LSTM,33.0,99.3
LSTM,34.0,99.08
LSTM,35.0,97.13
LSTM,36.0,97.3
LSTM,37.0,97.93
LSTM,38.0,99.62
LSTM,39.0,99.15
LSTM,40.0,99.33
LSTM,41.0,99.13
LSTM,42.0,99.37
LSTM,43.0,98.65
LSTM,44.0,99.77
LSTM,45.0,99.52
LSTM,46.0,98.77
LSTM,47.0,99.6
LSTM,48.0,99.65
LSTM,49.0,98.87
LSTM,50.0,99.43
LSTM,51.0,99.35
LSTM,52.0,99.7
LSTM,53.0,99.85
LSTM,54.0,99.45
LSTM,55.0,99.7
LSTM,56.0,99.17
LSTM,57.0,99.6
LSTM,58.0,99.68
LSTM,59.0,99.77
LSTM,60.0,99.75
LSTM,61.0,99.87
LSTM,62.0,99.85
LSTM,63.0,99.8
LSTM,64.0,99.8
LSTM,65.0,99.87
LSTM,66.0,99.87
LSTM,67.0,99.85
LSTM,68.0,99.9
LSTM,69.0,99.85
LSTM,70.0,99.8
LSTM,71.0,99.85
LSTM,72.0,99.82
LSTM,73.0,99.7
LSTM,74.0,99.92
LSTM,75.0,99.9
LSTM,76.0,99.9
LSTM,77.0,99.78
LSTM,78.0,99.73
LSTM,79.0,99.85
LSTM,80.0,99.62
LSTM,81.0,99.78
LSTM,82.0,99.58
LSTM,83.0,99.82
LSTM,84.0,99.92
LSTM,85.0,99.87
LSTM,86.0,99.75
LSTM,87.0,99.93
LSTM,88.0,99.93
LSTM,89.0,99.88
LSTM,90.0,99.92
LSTM,91.0,99.88
LSTM,92.0,99.9
LSTM,93.0,99.88
LSTM,94.0,99.83
LSTM,95.0,99.85
LSTM,96.0,99.92
LSTM,97.0,99.92
LSTM,98.0,99.83
LSTM,99.0,99.8
LSTM,100.0,99.9
Mamba,1.0,74.35
Mamba,2.0,75.35
Mamba,3.0,78.05
Mamba,4.0,87.37
Mamba,5.0,91.23
Mamba,6.0,94.88
Mamba,7.0,96.52
Mamba,8.0,96.28
Mamba,9.0,97.97
Mamba,10.0,98.32
Mamba,11.0,98.28
Mamba,12.0,97.3
Mamba,13.0,98.27
Mamba,14.0,90.57
Mamba,15.0,91.38
Mamba,16.0,96.55
Mamba,17.0,97.9
Mamba,18.0,98.12
Mamba,19.0,93.5
Mamba,20.0,95.25
Mamba,21.0,96.57
Mamba,22.0,94.98
Mamba,23.0,98.75
Mamba,24.0,94.45
Mamba,25.0,98.52
Mamba,26.0,87.3
Mamba,27.0,94.35
Mamba,28.0,98.88
Mamba,29.0,97.58
Mamba,30.0,94.48
Mamba,31.0,94.92
Mamba,32.0,92.63
Mamba,33.0,99.27
Mamba,34.0,91.2
Mamba,35.0,95.85
Mamba,36.0,99.32
Mamba,37.0,98.02
Mamba,38.0,97.77
Mamba,39.0,99.23
Mamba,40.0,95.93
Mamba,41.0,94.57
Mamba,42.0,98.53
Mamba,43.0,95.78
Mamba,44.0,95.97
Mamba,45.0,98.15
Mamba,46.0,92.17
Mamba,47.0,99.37
Mamba,48.0,99.47
Mamba,49.0,99.45
Mamba,50.0,99.47
Mamba,51.0,99.27
Mamba,52.0,99.55
Mamba,53.0,99.5
Mamba,54.0,99.3
Mamba,55.0,99.05
Mamba,56.0,99.28
Mamba,57.0,99.3
Mamba,58.0,99.25
Mamba,59.0,99.37
Mamba,60.0,99.62
Mamba,61.0,99.53
Mamba,62.0,99.62
Mamba,63.0,99.62
Mamba,64.0,99.53
Mamba,65.0,99.38
Mamba,66.0,99.57
Mamba,67.0,99.3
Mamba,68.0,99.68
Mamba,69.0,99.52
Mamba,70.0,99.43
Mamba,71.0,98.18
Mamba,72.0,99.63
Mamba,73.0,99.47
Mamba,74.0,99.47
Mamba,75.0,99.7
Mamba,76.0,99.27
Mamba,77.0,99.62
Mamba,78.0,99.17
Mamba,79.0,97.97
Mamba,80.0,99.02
Mamba,81.0,99.45
Mamba,82.0,99.38
Mamba,83.0,98.95
Mamba,84.0,99.25
Mamba,85.0,99.73
