model,max_val_accuracy,best_epoch,epochs_trained,final_val_loss,params,memory_mb,training_time_s,early_stopping,lr_reductions,no_thrust_precision,no_thrust_recall,no_thrust_f1,chemical_precision,chemical_recall,chemical_f1,electric_precision,electric_recall,electric_f1,impulsive_precision,impulsive_recall,impulsive_f1,macro_avg_precision,macro_avg_recall,macro_avg_f1,weighted_avg_precision,weighted_avg_recall,weighted_avg_f1,t_no_thrust_precision,t_no_thrust_recall,t_no_thrust_f1,t_chemical_precision,t_chemical_recall,t_chemical_f1,t_electric_precision,t_electric_recall,t_electric_f1,t_impulsive_precision,t_impulsive_recall,t_impulsive_f1
Decision Trees,99.68,1,1,0.0145,0,1.405984878540039,,False,0,0.998,0.9897,0.9938,1.0,1.0,1.0,0.9893,0.998,0.9936,1.0,1.0,1.0,0.9968,0.9969,0.9969,0.9969,0.9968,0.9968,1531.0,0.0,16.0,0.0,1485.0,0.0,3.0,0.0,1479.0,0.0,0.0,0.0
LSTM,99.93,87,101,0.0027,14788,0.112823486328125,2605.7876,False,0,0.9987,0.9974,0.9981,1.0,1.0,1.0,0.9973,0.9987,0.998,1.0,1.0,1.0,0.999,0.999,0.999,0.999,0.999,0.999,1543.0,0.0,4.0,0.0,1485.0,0.0,2.0,0.0,1480.0,0.0,0.0,0.0
Mamba,99.73,85,86,0.0115,7963,0.06075286865234375,1487.1351,True,0,0.9936,0.9961,0.9948,1.0,1.0,1.0,0.9959,0.9933,0.9946,1.0,1.0,1.0,0.9974,0.9973,0.9974,0.9973,0.9973,0.9973,1541.0,0.0,6.0,0.0,1485.0,0.0,10.0,0.0,1472.0,0.0,0.0,0.0
