Model,Epoch,Validation Accuracy
LSTM,1.0,69.02
LSTM,2.0,75.75
LSTM,3.0,73.52
LSTM,4.0,73.87
LSTM,5.0,75.1
LSTM,6.0,74.1
LSTM,7.0,74.72
LSTM,8.0,76.38
LSTM,9.0,74.37
LSTM,10.0,74.22
LSTM,11.0,74.4
LSTM,12.0,76.02
LSTM,13.0,75.55
LSTM,14.0,74.18
LSTM,15.0,75.3
LSTM,16.0,75.02
LSTM,17.0,74.88
LSTM,18.0,74.72
LSTM,19.0,75.13
LSTM,20.0,74.18
LSTM,21.0,74.4
LSTM,22.0,74.78
LSTM,23.0,77.67
LSTM,24.0,75.98
LSTM,25.0,78.0
LSTM,26.0,77.03
LSTM,27.0,76.12
LSTM,28.0,77.2
LSTM,29.0,77.65
LSTM,30.0,75.63
LSTM,31.0,74.28
LSTM,32.0,74.17
LSTM,33.0,74.08
LSTM,34.0,75.33
LSTM,35.0,74.75
LSTM,36.0,76.8
LSTM,37.0,77.07
LSTM,38.0,78.47
LSTM,39.0,74.78
LSTM,40.0,74.08
LSTM,41.0,76.15
LSTM,42.0,76.53
LSTM,43.0,75.77
LSTM,44.0,74.08
LSTM,45.0,76.92
LSTM,46.0,74.8
LSTM,47.0,76.67
LSTM,48.0,78.6
LSTM,49.0,77.07
LSTM,50.0,77.22
LSTM,51.0,77.93
LSTM,52.0,77.18
LSTM,53.0,74.53
LSTM,54.0,74.53
LSTM,55.0,77.53
LSTM,56.0,78.18
LSTM,57.0,78.9
LSTM,58.0,79.55
LSTM,59.0,79.42
LSTM,60.0,79.45
LSTM,61.0,77.57
LSTM,62.0,79.13
LSTM,63.0,79.58
LSTM,64.0,79.32
LSTM,65.0,79.58
LSTM,66.0,76.48
LSTM,67.0,79.22
LSTM,68.0,79.98
LSTM,69.0,79.6
LSTM,70.0,78.7
LSTM,71.0,77.17
LSTM,72.0,79.25
LSTM,73.0,77.47
LSTM,74.0,80.17
LSTM,75.0,79.77
LSTM,76.0,77.32
LSTM,77.0,78.38
LSTM,78.0,78.02
LSTM,79.0,79.82
LSTM,80.0,78.75
LSTM,81.0,81.1
LSTM,82.0,81.37
LSTM,83.0,80.95
LSTM,84.0,77.9
LSTM,85.0,78.5
LSTM,86.0,80.55
LSTM,87.0,81.83
LSTM,88.0,82.22
LSTM,89.0,79.05
LSTM,90.0,82.4
LSTM,91.0,77.57
LSTM,92.0,82.22
LSTM,93.0,78.98
LSTM,94.0,81.77
LSTM,95.0,82.02
LSTM,96.0,79.63
LSTM,97.0,80.58
LSTM,98.0,81.63
LSTM,99.0,82.8
LSTM,100.0,81.85
Mamba,1.0,74.47
Mamba,2.0,75.18
Mamba,3.0,73.93
Mamba,4.0,74.78
Mamba,5.0,75.3
Mamba,6.0,75.32
Mamba,7.0,74.95
Mamba,8.0,75.4
Mamba,9.0,75.93
Mamba,10.0,75.75
Mamba,11.0,76.78
Mamba,12.0,74.63
Mamba,13.0,76.78
Mamba,14.0,74.4
Mamba,15.0,75.33
Mamba,16.0,76.55
Mamba,17.0,74.38
Mamba,18.0,74.65
Mamba,19.0,76.02
Mamba,20.0,77.67
Mamba,21.0,74.5
Mamba,22.0,81.15
Mamba,23.0,74.08
Mamba,24.0,76.02
Mamba,25.0,75.48
Mamba,26.0,81.02
Mamba,27.0,79.57
Mamba,28.0,78.88
Mamba,29.0,81.0
Mamba,30.0,80.08
Mamba,31.0,81.4
Mamba,32.0,80.45
Mamba,33.0,80.27
Mamba,34.0,82.13
Mamba,35.0,81.75
Mamba,36.0,81.37
Mamba,37.0,81.98
Mamba,38.0,81.32
Mamba,39.0,79.93
Mamba,40.0,77.17
Mamba,41.0,78.03
Mamba,42.0,78.9
Mamba,43.0,82.12
Mamba,44.0,83.12
Mamba,45.0,83.53
Mamba,46.0,81.65
Mamba,47.0,82.62
Mamba,48.0,83.53
Mamba,49.0,81.38
Mamba,50.0,82.15
Mamba,51.0,80.45
Mamba,52.0,81.8
Mamba,53.0,81.33
Mamba,54.0,80.43
Mamba,55.0,83.2
Mamba,56.0,84.6
Mamba,57.0,84.05
Mamba,58.0,83.1
Mamba,59.0,83.73
Mamba,60.0,82.0
Mamba,61.0,84.4
Mamba,62.0,83.1
Mamba,63.0,84.23
Mamba,64.0,81.08
Mamba,65.0,82.32
Mamba,66.0,84.6
Mamba,67.0,83.93
Mamba,68.0,84.73
Mamba,69.0,84.35
Mamba,70.0,85.05
Mamba,71.0,84.13
Mamba,72.0,83.7
Mamba,73.0,82.87
Mamba,74.0,84.53
Mamba,75.0,83.23
Mamba,76.0,83.33
Mamba,77.0,84.48
Mamba,78.0,85.08
Mamba,79.0,85.15
Mamba,80.0,84.62
Mamba,81.0,84.5
Mamba,82.0,85.23
Mamba,83.0,85.02
Mamba,84.0,85.0
Mamba,85.0,84.58
Mamba,86.0,84.75
Mamba,87.0,85.28
Mamba,88.0,84.92
Mamba,89.0,84.98
Mamba,90.0,85.32
Mamba,91.0,84.5
Mamba,92.0,84.6
Mamba,93.0,85.4
Mamba,94.0,85.32
Mamba,95.0,85.27
Mamba,96.0,85.4
Mamba,97.0,85.18
Mamba,98.0,85.43
Mamba,99.0,85.08
Mamba,100.0,84.52
