model,max_val_accuracy,best_epoch,epochs_trained,final_val_loss,params,memory_mb,training_time_s,early_stopping,lr_reductions,no_thrust_precision,no_thrust_recall,no_thrust_f1,chemical_precision,chemical_recall,chemical_f1,electric_precision,electric_recall,electric_f1,impulsive_precision,impulsive_recall,impulsive_f1,macro_avg_precision,macro_avg_recall,macro_avg_f1,weighted_avg_precision,weighted_avg_recall,weighted_avg_f1,t_no_thrust_precision,t_no_thrust_recall,t_no_thrust_f1,t_chemical_precision,t_chemical_recall,t_chemical_f1,t_electric_precision,t_electric_recall,t_electric_f1,t_impulsive_precision,t_impulsive_recall,t_impulsive_f1
Decision Trees,81.9,1,1,0.3047,0,1.3476533889770508,,False,0,0.6154,0.7345,0.6697,1.0,1.0,1.0,0.6851,0.5573,0.6146,1.0,1.0,1.0,0.8251,0.8229,0.8211,0.8224,0.819,0.8177,1101.0,0.0,398.0,0.0,1476.0,0.0,688.0,0.0,866.0,0.0,0.0,0.0
LSTM,82.8,99,101,0.3113,14788,0.112823486328125,606.1945,False,0,0.6238,0.6891,0.6548,1.0,1.0,1.0,0.6664,0.5991,0.631,1.0,1.0,1.0,0.8226,0.8221,0.8215,0.8196,0.8185,0.8182,1033.0,0.0,466.0,0.0,1476.0,0.0,623.0,0.0,931.0,0.0,0.0,0.0
Mamba,85.43,98,101,0.2748,7963,0.06075286865234375,1247.2245,False,0,0.7162,0.6298,0.6702,1.0,1.0,1.0,0.6801,0.7593,0.7175,1.0,1.0,1.0,0.8491,0.8473,0.8469,0.8463,0.8452,0.8445,944.0,0.0,555.0,0.0,1476.0,0.0,374.0,0.0,1180.0,0.0,0.0,0.0
