Model,label,precision,recall,f1,support
LSTM,no_thrust,0.5633,0.718,0.6313,1500
LSTM,chemical,1.0,1.0,1.0,1534
LSTM,electric,0.6091,0.4411,0.5116,1494
LSTM,impulsive,1.0,1.0,1.0,1472
LSTM,macro_avg,0.7931,0.7898,0.7857,6000
LSTM,weighted_avg,0.7935,0.7903,0.7862,6000
LSTM,t_no_thrust,1077.0,0.0,423.0,0
LSTM,t_chemical,0.0,1534.0,0.0,0
LSTM,t_electric,835.0,0.0,659.0,0
LSTM,t_impulsive,0.0,0.0,0.0,1472
Mamba,no_thrust,0.8202,0.794,0.8069,1500
Mamba,chemical,0.9993,1.0,0.9997,1534
Mamba,electric,0.7995,0.8246,0.8119,1494
Mamba,impulsive,1.0,1.0,1.0,1472
Mamba,macro_avg,0.9048,0.9047,0.9046,6000
Mamba,weighted_avg,0.905,0.9048,0.9048,6000
Mamba,t_no_thrust,1191.0,0.0,309.0,0
Mamba,t_chemical,0.0,1534.0,0.0,0
Mamba,t_electric,261.0,1.0,1232.0,0
Mamba,t_impulsive,0.0,0.0,0.0,1472
