Mamba Train,LSTM Train,Mamba Test,LSTM Test
439.2820692890091,346.58806996198837,12.34951570793055,12.487009525997564
441.63927627308294,345.52998989098705,12.460261119063944,12.541459242929704
450.66618055896834,353.1346583679551,12.316892591072246,12.541932029067539
440.9141443819972,342.40185577597003,12.600642378092743,12.681977750966325
445.40740458702203,346.90269391599577,12.42483709496446,12.633056961931288
433.44861412991304,343.54673776298296,12.583605993073434,12.690674236044288
439.17123238299973,346.3934787339531,12.534039641031995,12.750608092057519
438.2572072999319,347.2406399870524,12.284948440035805,12.489707142929547
423.89593237207737,342.3077963780379,12.473437363980338,12.7747451729374
437.0954690439394,343.193946165964,12.46777925407514,12.69694472500123
431.5294339529937,350.3508328490425,12.435924133984372,12.587934268987738
447.52566356305033,356.01828888698947,12.47314254695084,12.62262556294445
441.2494169039419,343.06477912701666,12.39620018703863,12.682034234050661
438.1851030329708,359.9790423089871,12.262088467017747,12.4623834019294
445.9224925560411,345.6297552990727,12.448244274943136,12.630131111945957
442.0750747070415,350.37385902705137,12.512867589946836,12.723966700956225
442.317217489006,347.1279031269951,12.320367941982113,12.592242716928013
439.70118937199004,345.5824406379834,12.536869912990369,12.611527159926482
432.35056605702266,344.4334310129052,12.409515923936851,12.519331856048666
447.22912512894254,349.03067964199,12.521638717968017,12.571913375984877
430.53293305495754,341.57357151200995,12.421537065994926,12.699767400044948
440.22031561506446,345.75824501004536,12.863368532038294,12.829732127021998
434.9082276179688,345.48505734303035,12.389693230972625,12.550717012956738
437.0758963180706,347.37294785201084,12.416185289039277,12.584776989999227
444.5978586509591,344.72523024794646,12.653403209988028,12.81729661906138
432.9357416089624,344.38181313790847,12.412805794039741,12.535129967029206
443.6046861760551,343.21237662096974,12.530475481995381,12.67508542095311
441.6531442529522,344.8198275589384,12.695427443017252,12.889279016992077
444.5419573649997,345.4487965729786,12.4118714510696,12.91942326107528
446.85968007391784,349.1832336250227,12.523788533988409,12.835704104974866
439.49067684507463,347.7326563599054,12.587099610944279,12.718699791003019
444.334551771055,344.9564914579969,12.466135601047426,12.74978244502563
438.17752168001607,344.17760074406397,12.378763457993045,12.462003731983714
432.9039581420366,340.81575720408,12.386839779093862,12.608135905000381
443.62686224700883,343.12975597695913,12.360877575934865,12.452167078037746
447.13998071092647,347.80284142203163,12.423650274053216,12.773867506999522
442.7109450059943,349.00924929697067,12.659537455067039,12.77597269997932
426.7736266730353,351.48442662891466,12.958616618067026,12.867736191954464
445.8817375600338,349.9840196730802,12.802342022070661,12.944395845057443
442.31782135996036,346.27670373395085,12.304803616949357,12.581436670967378
439.21820658794604,352.19952911301516,12.518232997041196,12.598950947984122
443.2789066620171,345.25008047604933,12.360808814060874,12.574743616976775
445.06393503409345,348.2340930310311,12.58325560693629,12.572780428919941
435.07565549900755,348.9769020070089,12.690805796999484,12.78476733691059
443.91303021402564,347.524107992067,12.29158873599954,12.507086868979968
439.3017623849446,345.722886806936,12.573846322949976,12.678412277018651
432.36072146496736,344.52094604901504,12.545042220968753,12.645904129953124
449.999444984016,348.02776609605644,12.728823461104184,12.798511105007492
433.27081545291,346.1412769050803,12.428903777035885,12.673926875926554
441.45371419296134,348.20674896310084,12.557138289092109,12.635922337998636
433.4601116080303,346.31125186698046,12.501188197988085,12.688458982040174
440.4123580630403,344.51287525403313,12.484872429049574,12.633626976981759
439.09062725899275,358.0651113879867,12.498598125996068,12.626811671885662
444.80073613498826,348.2848314149305,12.374364043935202,12.62492410291452
445.40098347200546,344.93909072095994,12.40096204704605,12.439284102991223
442.57009410101455,342.3341714750277,12.421277171000838,12.683383070980199
439.79492648295127,347.809640286956,12.433865446946584,12.573029223945923
440.89659417502116,349.5963016540045,12.443889010930434,12.615350421983749
451.49622555600945,349.33476867200807,12.56458645593375,12.721429527038708
440.008737088996,340.5935077369213,12.366939092054963,12.768899133894593
442.40108289092313,342.7404124560999,12.466625094995834,12.421239975024946
447.55379353801254,352.521858158987,12.405548674985766,12.555687362910248
444.8753497659927,348.8827078329632,12.608649910078384,12.801724586985074
440.6565707148984,356.3136141329305,12.45689523499459,12.647665828932077
443.492860191036,350.18036017997656,12.648183466983028,12.649275703006424
434.242645968101,346.8790250850143,12.463445462053642,12.656270693987608
440.6404445010703,345.2935367199825,12.40368704102002,12.462882677908055
444.7004729359178,345.37576203397475,12.682469253893942,12.464357839897275
434.91872158891056,346.42140775104053,12.559832850005478,12.675850750994869
448.43876234604977,346.9029358680127,12.453787127975374,12.554461283027194
437.9992460809881,342.774302617996,12.51453981094528,12.606734714005142
440.25658153300174,342.13786113495007,12.513449020916596,12.516892147948965
436.5668143570656,344.5488210519543,12.666434705955908,12.971719988971017
440.33270970301237,349.70783324702643,12.508990511996672,12.854194460902363
433.1293926789658,351.0388512359932,12.629236263921484,13.02577879698947
444.8919613970211,348.0915672540432,12.588373485021293,12.74793947301805
442.425696137012,349.3321116620209,12.614204137935303,12.767969144042581
439.18065234296955,346.5408627130091,12.452760829008184,12.808747507049702
437.3575881270226,345.825142852962,12.610800713999197,12.74517610995099
445.61852249200456,358.9275555050699,12.549181096022949,12.829880526056513
445.3508331970079,345.62199132400565,12.392699202988297,12.607512093964033
437.9855874059722,347.2645033999579,12.62794781906996,12.69314191408921
435.2502240339527,346.17138489102945,12.301582487067208,12.456823662039824
433.00365134608,348.63230483199004,12.945240656030364,12.907805438968353
446.7182437980082,347.6110062249936,12.45376294106245,12.621889368980192
440.9771822670009,345.5035297180293,12.32585439097602,12.59803648898378
439.267796787899,348.7520248370711,12.41971901501529,12.503191719064489
