Model,Epoch,Validation Accuracy
LSTM,1,69.3
LSTM,2,69.25
LSTM,3,69.27
LSTM,4,69.47
LSTM,5,69.47
LSTM,6,69.1
LSTM,7,68.88
LSTM,8,69.2
LSTM,9,69.57
LSTM,10,69.12
LSTM,11,69.07
LSTM,12,69.65
LSTM,13,69.4
LSTM,14,69.77
LSTM,15,69.53
LSTM,16,69.5
LSTM,17,69.63
LSTM,18,70.53
LSTM,19,69.47
LSTM,20,69.5
LSTM,21,69.63
LSTM,22,69.63
LSTM,23,69.88
LSTM,24,69.3
LSTM,25,69.42
LSTM,26,69.43
LSTM,27,69.48
LSTM,28,69.5
LSTM,29,69.87
LSTM,30,69.73
LSTM,31,69.42
LSTM,32,69.48
LSTM,33,70.25
LSTM,34,69.23
LSTM,35,69.5
LSTM,36,69.3
LSTM,37,70.15
LSTM,38,69.9
LSTM,39,70.22
LSTM,40,69.58
LSTM,41,69.37
LSTM,42,70.23
LSTM,43,68.48
LSTM,44,70.0
LSTM,45,69.97
LSTM,46,70.17
LSTM,47,69.55
LSTM,48,69.7
LSTM,49,70.65
LSTM,50,70.88
LSTM,51,70.18
LSTM,52,70.15
LSTM,53,70.45
LSTM,54,69.28
LSTM,55,69.88
LSTM,56,70.82
LSTM,57,70.78
LSTM,58,70.7
LSTM,59,70.68
LSTM,60,70.23
LSTM,61,70.23
LSTM,62,71.35
LSTM,63,70.98
LSTM,64,70.88
LSTM,65,71.1
LSTM,66,71.27
LSTM,67,70.62
LSTM,68,71.07
LSTM,69,70.83
LSTM,70,70.45
LSTM,71,71.48
LSTM,72,70.88
LSTM,73,70.93
LSTM,74,71.33
LSTM,75,70.55
LSTM,76,71.48
LSTM,77,70.75
LSTM,78,70.3
LSTM,79,71.13
LSTM,80,70.9
LSTM,81,71.27
LSTM,82,71.25
LSTM,83,71.47
LSTM,84,71.27
LSTM,85,71.1
LSTM,86,70.82
LSTM,87,70.93
LSTM,88,71.4
LSTM,89,71.3
LSTM,90,71.32
LSTM,91,71.18
LSTM,92,71.13
LSTM,93,71.17
Mamba,1,68.75
Mamba,2,70.88
Mamba,3,70.53
Mamba,4,74.07
Mamba,5,73.93
Mamba,6,74.68
Mamba,7,73.57
Mamba,8,73.7
Mamba,9,74.65
Mamba,10,75.3
Mamba,11,74.42
Mamba,12,75.58
Mamba,13,75.18
Mamba,14,74.0
Mamba,15,74.12
Mamba,16,75.22
Mamba,17,73.17
Mamba,18,74.72
Mamba,19,75.32
Mamba,20,74.85
Mamba,21,75.58
Mamba,22,75.17
Mamba,23,75.12
Mamba,24,75.0
Mamba,25,75.67
Mamba,26,75.35
Mamba,27,75.27
Mamba,28,75.17
Mamba,29,75.97
Mamba,30,75.77
Mamba,31,75.7
Mamba,32,75.9
Mamba,33,75.28
Mamba,34,74.92
Mamba,35,76.0
Mamba,36,75.47
Mamba,37,75.45
Mamba,38,75.02
Mamba,39,75.63
Mamba,40,75.35
Mamba,41,74.72
Mamba,42,75.75
Mamba,43,75.4
Mamba,44,75.23
Mamba,45,75.88
Mamba,46,75.9
Mamba,47,75.15
Mamba,48,75.37
Mamba,49,75.6
Mamba,50,75.85
Mamba,51,76.07
Mamba,52,75.5
Mamba,53,75.68
Mamba,54,75.98
Mamba,55,75.57
Mamba,56,75.92
Mamba,57,75.35
Mamba,58,75.55
Mamba,59,75.32
Mamba,60,75.27
Mamba,61,76.0
Mamba,62,75.9
Mamba,63,75.47
Mamba,64,75.03
Mamba,65,75.8
Mamba,66,76.08
Mamba,67,75.72
Mamba,68,75.82
Mamba,69,75.78
Mamba,70,75.87
Mamba,71,75.92
Mamba,72,75.38
Mamba,73,76.22
