model,max_val_accuracy,best_epoch,epochs_trained,final_val_loss,params,memory_mb,training_time_s,early_stopping,lr_reductions,no_thrust_precision,no_thrust_recall,no_thrust_f1,chemical_precision,chemical_recall,chemical_f1,electric_precision,electric_recall,electric_f1,impulsive_precision,impulsive_recall,impulsive_f1,macro_avg_precision,macro_avg_recall,macro_avg_f1,weighted_avg_precision,weighted_avg_recall,weighted_avg_f1,t_no_thrust_precision,t_no_thrust_recall,t_no_thrust_f1,t_chemical_precision,t_chemical_recall,t_chemical_f1,t_electric_precision,t_electric_recall,t_electric_f1,t_impulsive_precision,t_impulsive_recall,t_impulsive_f1
Decision Trees,93.4,1,1,0.2069,0,1.3671531677246094,,False,0,0.9079,0.8181,0.8607,1.0,1.0,1.0,0.836,0.9179,0.8751,1.0,1.0,1.0,0.936,0.934,0.9339,0.9358,0.934,0.9338,1223.0,0.0,272.0,0.0,1464.0,0.0,124.0,0.0,1387.0,0.0,0.0,0.0
LSTM,85.9,99,101,0.2745,14788,0.112823486328125,1088.0411,False,0,0.665,0.7304,0.6962,1.0,1.0,1.0,0.7045,0.636,0.6685,1.0,1.0,1.0,0.8424,0.8416,0.8412,0.8421,0.8412,0.8408,1092.0,0.0,403.0,0.0,1464.0,0.0,550.0,0.0,961.0,0.0,0.0,0.0
Mamba,97.15,82,92,0.0823,7963,0.06075286865234375,1211.7527,True,0,0.9639,0.8756,0.9176,1.0,1.0,1.0,0.8871,0.9676,0.9256,1.0,1.0,1.0,0.9628,0.9608,0.9608,0.9626,0.9608,0.9607,1309.0,0.0,186.0,0.0,1464.0,0.0,49.0,0.0,1462.0,0.0,0.0,0.0
