Model,label,precision,recall,f1,support
Decision Trees,no_thrust,0.9079,0.8181,0.8607,1495
Decision Trees,chemical,1.0,1.0,1.0,1464
Decision Trees,electric,0.836,0.9179,0.8751,1511
Decision Trees,impulsive,1.0,1.0,1.0,1530
Decision Trees,macro_avg,0.936,0.934,0.9339,6000
Decision Trees,weighted_avg,0.9358,0.934,0.9338,6000
Decision Trees,t_no_thrust,1223.0,0.0,272.0,0
Decision Trees,t_chemical,0.0,1464.0,0.0,0
Decision Trees,t_electric,124.0,0.0,1387.0,0
Decision Trees,t_impulsive,0.0,0.0,0.0,1530
LSTM,no_thrust,0.665,0.7304,0.6962,1495
LSTM,chemical,1.0,1.0,1.0,1464
LSTM,electric,0.7045,0.636,0.6685,1511
LSTM,impulsive,1.0,1.0,1.0,1530
LSTM,macro_avg,0.8424,0.8416,0.8412,6000
LSTM,weighted_avg,0.8421,0.8412,0.8408,6000
LSTM,t_no_thrust,1092.0,0.0,403.0,0
LSTM,t_chemical,0.0,1464.0,0.0,0
LSTM,t_electric,550.0,0.0,961.0,0
LSTM,t_impulsive,0.0,0.0,0.0,1530
Mamba,no_thrust,0.9639,0.8756,0.9176,1495
Mamba,chemical,1.0,1.0,1.0,1464
Mamba,electric,0.8871,0.9676,0.9256,1511
Mamba,impulsive,1.0,1.0,1.0,1530
Mamba,macro_avg,0.9628,0.9608,0.9608,6000
Mamba,weighted_avg,0.9626,0.9608,0.9607,6000
Mamba,t_no_thrust,1309.0,0.0,186.0,0
Mamba,t_chemical,0.0,1464.0,0.0,0
Mamba,t_electric,49.0,0.0,1462.0,0
Mamba,t_impulsive,0.0,0.0,0.0,1530
