Model,Epoch,Validation Accuracy
LSTM,1,73.73
LSTM,2,75.48
LSTM,3,73.05
LSTM,4,69.5
LSTM,5,76.07
LSTM,6,76.07
LSTM,7,74.72
LSTM,8,75.17
LSTM,9,75.62
LSTM,10,75.6
LSTM,11,75.27
LSTM,12,74.85
LSTM,13,75.17
LSTM,14,74.58
LSTM,15,75.27
LSTM,16,77.02
LSTM,17,75.3
LSTM,18,75.27
LSTM,19,74.58
LSTM,20,75.43
LSTM,21,75.63
Mamba,1,74.88
Mamba,2,74.88
Mamba,3,75.18
Mamba,4,74.62
Mamba,5,75.2
Mamba,6,75.1
Mamba,7,75.65
Mamba,8,75.6
Mamba,9,75.18
Mamba,10,77.33
Mamba,11,76.08
Mamba,12,77.67
Mamba,13,78.3
Mamba,14,80.63
Mamba,15,86.17
Mamba,16,83.35
Mamba,17,80.87
Mamba,18,76.07
Mamba,19,85.98
Mamba,20,83.27
Mamba,21,82.58
Mamba,22,84.27
Mamba,23,85.0
Mamba,24,79.67
Mamba,25,86.83
Mamba,26,88.57
Mamba,27,87.43
Mamba,28,87.1
Mamba,29,87.05
Mamba,30,87.23
Mamba,31,81.0
Mamba,32,90.35
Mamba,33,83.42
Mamba,34,91.13
Mamba,35,89.72
Mamba,36,89.07
Mamba,37,89.85
Mamba,38,90.87
Mamba,39,90.88
Mamba,40,88.5
Mamba,41,88.62
Mamba,42,88.02
Mamba,43,87.83
Mamba,44,90.37
Mamba,45,85.68
Mamba,46,92.02
Mamba,47,86.32
Mamba,48,92.57
Mamba,49,91.08
Mamba,50,83.4
Mamba,51,90.12
Mamba,52,90.08
Mamba,53,92.38
Mamba,54,93.42
Mamba,55,91.73
Mamba,56,93.52
Mamba,57,91.03
Mamba,58,93.47
Mamba,59,93.35
Mamba,60,93.25
Mamba,61,92.55
Mamba,62,93.42
Mamba,63,94.13
Mamba,64,94.17
Mamba,65,90.37
Mamba,66,93.18
Mamba,67,89.82
Mamba,68,93.67
Mamba,69,88.17
Mamba,70,93.5
Mamba,71,94.9
Mamba,72,89.9
Mamba,73,92.1
Mamba,74,93.92
Mamba,75,93.42
Mamba,76,94.62
Mamba,77,93.97
Mamba,78,95.53
Mamba,79,95.93
Mamba,80,95.52
Mamba,81,95.47
Mamba,82,95.62
Mamba,83,95.25
Mamba,84,95.88
Mamba,85,96.22
Mamba,86,96.05
Mamba,87,95.95
Mamba,88,96.02
Mamba,89,95.65
