Sat1.A1ModJulian          Sat1.EarthMJ2000Eq.X      Sat1.EarthMJ2000Eq.Y      Sat1.EarthMJ2000Eq.Z      Sat1.EarthMJ2000Eq.VX     Sat1.EarthMJ2000Eq.VY     Sat1.EarthMJ2000Eq.VZ     Sat1.ElapsedSecs          
30538.00005826831         7095.872663892587         -4.00448397919685e-13     1299.24429057188          -0.03296818404163049      7.355020881374157         0.9946466850481702        0                         
30538.00017400905         7095.165953133936         73.54890275053353         1309.121365803237         -0.108365008649728        7.35462945357678          0.9807522468055763        10.00000013737008         
30538.00056215449         7087.297692587279         320.0990400839507         1341.221671121107         -0.360748235223232        7.347623404075578         0.9334652549425009        43.53576611028984         
30538.00155853484         7028.508406861957         950.5553581349914         1416.206236819842         -1.003615220975526        7.289773302845317         0.8075617496520869        129.6230283100158         
30538.00270295065         6893.307993947409         1665.228197120795         1488.618879290981         -1.728059109043091        7.153686520103967         0.6560174702688614        228.50055412855           
30538.00386455862         6683.871609194355         2373.1621393504           1546.481992166968         -2.441206620594351        6.941600051903716         0.4961911315838864        328.8634828990325         
30538.00419739066         6610.800042006163         2571.728094970141         1560.080532753743         -2.640435556763271        6.867497723273075         0.4495179097264457        357.6201713061891         
30538.00456125206         6524.405391432624         2786.266288933725         1573.405492150693         -2.855293910705928        6.779855080748237         0.3981308539497164        389.0577962505631         
30538.0049600188          6422.027517794294         3018.089458888406         1586.146899156905         -3.086997486160714        6.675975111922649         0.3414395859676601        423.5112426336855         
30538.00603405531         6107.354625464935         3623.220635523044         1610.693719013022         -3.689501449563698        6.35664148332766          0.187324124993729         516.3079974590801         
30538.0071986152          5704.897947867278         4242.792847279024         1621.082145167731         -4.302793641688816        5.948277020355678         0.01910995342382717       616.9259713031352         
30538.00837094828         5239.790057161449         4821.889885947364         1614.455550098898         -4.872501686162941        5.47647025993941          -0.1497302701355263       718.2155496440828         
30538.00955412568         4714.574453130462         5354.963349358613         1590.526479681543         -5.393573244546495        4.94379249170798          -0.3179147558724231       820.4420772381127         
30538.01073668326         4139.383772107192         5830.690907924718         1549.61607210298          -5.855373903841903        4.360413303732863         -0.4821031514170785       922.6150520145893         
30538.01191904263         3520.315883733921         6244.405167241514         1492.210292583381         -6.253820972026738        3.732316322303104         -0.6407280876073287       1024.770901305601         
30538.01309118289         2869.749575630929         6589.231291784702         1419.648603329846         -6.582723163064604        3.071782827429583         -0.790978687525311        1126.043819671031         
30538.01424878962         2197.927941651642         6862.537635462375         1333.455740573374         -6.83999390163341         2.388888030855205         -0.9310987915648975       1226.06104145525          
30538.01543476652         1486.600884904256         7070.400405117225         1231.108967273047         -7.031510967713456        1.664662366509483         -1.064743453740128        1328.52944531478          
30538.01657159574         789.8143541764618         7199.099506452637         1120.668806979917         -7.144916968073336        0.9537422090468421        -1.182210244374331        1426.751490065362         
30538.01775027462         59.31690887862073         7258.23308123485          994.5836510395886         -7.18879716722214         0.2064527015882372        -1.291824287573029        1528.589345770888         
30538.01885299655         -624.8182439280389        7244.45490058615          867.1035099314716         -7.161410533810843        -0.4956271655641994       -1.382177060725545        1623.864519875497         
30538.02001718552         -1340.709016256935        7157.452833024651         723.8469718849731         -7.06075658206912         -1.233051670064816        -1.463842554681317        1724.450447084382         
30538.02119140988         -2048.765511458041        6995.065114822642         571.7931267266152         -6.885272438282163        -1.96571853413248         -1.531082059552326        1825.903431989718         
30538.02236341453         -2734.031654438672        6759.735971892658         414.0241153882661         -6.637387199361334        -2.678568461845373        -1.582295187141175        1927.1646337118           
30538.02354150928         -3393.923578534403        6451.689092568224         251.0491304763836         -6.317002342672418        -3.369256561774686        -1.617144288113132        2028.95201977808          
30538.02471887519         -4017.309377633426        6075.218533339887         85.4994958758946          -5.928191068350754        -4.02640914305994         -1.634833246148892        2130.676434701309         
30538.0258918535          -4595.719682478339        5635.641337638713         -80.34364707575745        -5.475978909992735        -4.641227079209376        -1.635091797353673        2232.021760765929         
30538.02706578794         -5125.598018758582        5135.626386059675         -245.460657543497         -4.9626320021345          -5.209976756993873        -1.617830618889298        2333.449696144089         
30538.02824323732         -5601.855781212142        4578.819476528548         -408.4180434104243        -4.391418930723091        -5.727206739678908        -1.582911856577727        2435.181323171128         
30538.02940608147         -6012.598841717666        3980.165156022741         -565.0010228181593        -3.777212174485113        -6.179788099831605        -1.531291479396969        2535.651057399809         
30538.0305614823          -6357.368477723709        3343.399934696598         -714.6150307556386        -3.123439837144271        -6.566806183742177        -1.463477736963437        2635.477688850369         
30538.03173606729         -6638.992979240043        2659.900979872034         -858.9435813368204        -2.420880728636303        -6.891286309475221        -1.378185353422247        2736.961832433008         
30538.03282532836         -6835.040149642025        1999.780709855377         -984.3655496572727        -1.741407717371805        -7.126228304728174        -1.284983838257789        2831.073988240678         
30538.03395764893         -6969.943433916303        1293.511487267318         -1104.78403083227         -1.013319076528047        -7.299877082407419        -1.174510021893356        2928.906486032065         
30538.03497670659         -7029.811753421081        646.2579871523867         -1203.406094774078        -0.3450386199895222       -7.392438743844719        -1.064040873900046        3016.953067341819         
30538.03598689867         -7030.759386270705        -0.7436403721243536       -1291.148712648643        0.3239416059320465        -7.423117301419941        -0.945044485430528        3104.233663505875         
30538.03701393555         -6971.783681007711        -658.4913005172795        -1369.313831952589        1.004954571616368         -7.391020136288236        -0.8153145865129923       3192.969650274608         
30538.03799802329         -6858.743678555713        -1283.463515983001        -1433.087966024299        1.65280072647508          -7.300024113395648        -0.6837006167739097       3277.994830941316         
