Sat1.A1ModJulian          Sat1.Earth.SMA            Sat1.Earth.ECC            Sat1.EarthMJ2000Eq.INC    Sat1.EarthMJ2000Eq.RAAN   Sat1.EarthMJ2000Eq.AOP    Sat1.Earth.TA             Sat1.ElapsedSecs          
30538.00005826831         67903.82797675686         0.8319596431841394        9.637322263268354         317.5089753414302         41.1622299320287          0                         0                         
30538.00017400905         67903.72483745255         0.8319593868490563        9.637303503625985         317.5088766766466         41.16256248760896         0.401448689939484         10.00000013737008         
30538.00054800087         67903.33163749184         0.8319583952915448        9.637242724706507         317.508547298452          41.16364527824989         1.698433829891476         42.31289316667244         
30538.00166818353         67901.62316777246         0.8319539774356035        9.637060630438523         317.5074662520733         41.16695227370615         5.576078726293185         139.0966756269336         
30538.0036950825          67896.7010523443          0.8319409724626798        9.63674248074018          317.5051793736098         41.1730808573477          12.52337033616761         314.220746490173          
30538.00583654107         67889.46177075828         0.8319216150874891        9.636443544518732         317.5023958726318         41.17954774826188         19.68445281307806         499.2427670862526         
30538.00801896922         67880.67735687023         0.8318979640368329        9.636197499650539         317.4993284155914         41.18588288346628         26.70456991954372         687.8045586403459         
30538.01035320987         67870.54034717981         0.8318705364504071        9.636009807270968         317.4959850799964         41.19214598878926         33.82501070497684         889.4829507451504         
30538.01291191479         67859.38520295401         0.8318402316949999        9.635891309786851         317.4924572172411         41.19822331679641         41.10934333934259         1110.555056494195         
30538.01534398426         67849.31641766678         0.8318127873246088        9.635850734265606         317.4893846015501         41.20316393128746         47.50290768927581         1320.685858558863         
30538.01772833351         67840.26635362582         0.8317880537892671        9.635862992655557         317.4867133078945         41.20723043274027         53.27189535303026         1526.693633676041         
30538.02016039085         67832.0087855264          0.8317654346004105        9.635912460184219         317.484358497192          41.21065229196105         58.66833927688089         1736.823387478944         
30538.02269964767         67824.45444582951         0.831744699506998         9.635988964279282         317.4822837118713         41.21354338404756         63.81190550898717         1956.215176766273         
30538.02539399154         67817.56148063148         0.8317257444952716        9.636084622337426         317.4804682493922         41.21597469618529         68.76911827434769         2189.006487268489         
30538.02829069206         67811.30123420327         0.8317084997434558        9.636192921277818         317.4788952764413         41.21800019988851         73.58381726058757         2439.281412516721         
30538.03144004575         67805.65084030828         0.8316929100153921        9.636308317347096         317.4775489863108         41.2196649178544          78.28592344510898         2711.38557116501          
30538.03489513629         67800.59295674028         0.8316789343479672        9.636425959454076         317.476414067623          41.221008120417           82.89238743395077         3009.905393840745         
30538.03869954721         67796.12461469075         0.8316665708212391        9.636541258320532         317.4754771046831         41.22206357283309         87.39562912718897         3338.606497063302         
30538.04287799625         67792.24639932616         0.8316558268815474        9.636649980452852         317.4747234801838         41.22286466993975         91.76505166040363         3699.624493997544         
30538.04744253193         67788.93985245867         0.8316466566682563        9.636748921920709         317.4741332545512         41.22344927224776         95.96659043530538         4094.000376784243         
30538.05242282163         67786.15152621079         0.831638916419715         9.63683660957116          317.4736803590924         41.22385933726152         99.99225039094063         4524.297407269478         
30538.05845983179         67783.59602240339         0.8316318167146717        9.636920010420129         317.4733087170934         41.22415562600764         104.2407336584926         5045.895085099619         
30538.06457472296         67781.65876570226         0.8316264311533634        9.63698470642338          317.4730604229715         41.22431922542629         107.9787553287343         5574.221681873314         
30538.07186179202         67779.94051856248         0.8316216522844831        9.637042541671956         317.4728694894583         41.22441072172758         111.8456753168719         6203.824448667001         
30538.07986362875         67778.55882334623         0.8316178084493238        9.637088656645281         317.4727400868201         41.22443966926796         115.5119999809163         6895.1831424376           
30538.08859017984         67777.45663468765         0.8316147420983154        9.637124440843774         317.4726554508651         41.22442772062492         118.9698260135056         7649.157156154979         
30538.09811436352         67776.57605698395         0.8316122928039705        9.637151630241821         317.4726019302375         41.22439079819043         122.241046911933          8472.046626638621         
30538.10852888607         67775.87043924996         0.8316103310926592        9.63717176558511          317.4725695815629         41.22433983304348         125.3487800734528         9371.861374843866         
30538.11993850355         67775.30334913808         0.8316087557259133        9.63718614344873          317.4725512866598         41.22428221499175         128.3132923763639         10357.65232482227         
30538.13245838227         67774.84639224765         0.8316074877185747        9.637195840526749         317.4725419694642         41.22422288096381         131.15172533903           11439.36984662432         
30538.14621520706         67774.47730920078         0.831606465097661         9.63720174818852          317.4725380214001         41.22416506293308         133.8787682570968         12627.95950864675         
30538.16134828851         67774.17855978485         0.831605638996376         9.637204602741127         317.4725368933027         41.22411080614416         136.5071744336731         13935.45774542727         
30538.17801083077         67773.93625694336         0.8316049707088566        9.637205011246833         317.4725368029578         41.22406133072986         139.0481897919995         15375.10139675578         
30538.19637168963         67773.73935675388         0.8316044294489271        9.637203473053843         317.4725365236939         41.22401728545644         141.5119485751214         16961.47960253293         
30538.21661713252         67773.57904607021         0.8316039906526753        9.637200397517594         317.4725352300649         41.22397892873759         143.9077618443006         18710.68586767651         
30538.23895295892         67773.44827061126         0.8316036346666102        9.637196118584511         317.4725323840301         41.22394625805078         146.244375743152          20640.50126936054         
30538.26360768417         67773.34136736958         0.8316033457207217        9.637190906525801         317.4725276498715         41.22391910287933         148.5302615925784         22770.66953064641         
30538.29083385107         67773.25378871373         0.8316031111487601        9.637184977849691         317.4725208300455         41.22389719550083         150.7736691443772         25123.0103506241          
30538.32091200566         67773.18187519744         0.8316029207351914        9.637178502757497         317.4725118151981         41.22388022129628         152.9829179277359         27721.76290737698         
30538.35216200566         67773.12576965491         0.8316027741979163        9.637172014548911         317.4725012501069         41.22386844760677         155.0422465415847         30421.76290737698         
