Sat1.A1ModJulian          Sat1.Earth.SMA            Sat1.EarthMJ2000Eq.EquinoctialH   Sat1.EarthMJ2000Eq.EquinoctialK   Sat1.EarthMJ2000Eq.EquinoctialP   Sat1.EarthMJ2000Eq.EquinoctialQ   Sat1.EarthMJ2000Eq.MLONG   Sat1.ElapsedSecs          
30538.00005826831         67903.82797675686         -0.01929294788025913              0.831735913646375                 -0.05694275404883141              0.06216165830956672               358.6712052760876          0                         
30538.00017400905         67903.72483745255         -0.01928954665398147              0.8317357361302579                -0.05694274972551077              0.06216143867884378               358.6918704989433          10.00000013737008         
30538.00054800087         67903.33163749184         -0.01927858674321548              0.8317349984155209                -0.05694274625600095              0.06216071744723856               358.7586443353836          42.31289316667244         
30538.00166818353         67901.62316777246         -0.01924617150587984              0.831731330090004                 -0.05694283804606805              0.06215846299727253               -1.041372942153867         139.0966756269336         
30538.0036950825          67896.7010523443          -0.01919010355939905              0.831719617171273                 -0.05694343012893271              0.06215412847817401               -0.6796275936355125        314.220746490173          
30538.00583654107         67889.46177075828         -0.01913618926020743              0.8317014968787622                -0.05694467472621915              0.06214942493770558               -0.2976575648168999        499.2427670862526         
30538.00801896922         67880.67735687023         -0.01908821316091198              0.8316789420725713                -0.05694654103595658              0.06214478191580562               0.0913334597814329         687.8045586403459         
30538.01035320987         67870.54034717981         -0.01904520317495575              0.83165249332297                  -0.05694905271144467              0.06214024274663758               0.5070404552222264         889.4829507451504         
30538.01291191479         67859.38520295401         -0.01900750501666169              0.8316230431027226                -0.05695217507096818              0.06213596838323256               0.9623274032591173         1110.555056494195         
30538.01534398426         67849.31641766678         -0.01897976561758261              0.8315962251320267                -0.056955266204087                0.06213265123349677               1.394735515638742          1320.685858558863         
30538.01772833351         67840.26635362582         -0.01895895168571814              0.8315719599514616                -0.05695823574755209              0.06213007516143508               1.818378634148475          1526.693633676041         
30538.02016039085         67832.0087855264          -0.01894294975557138              0.8315496995673607                -0.05696108299785815              0.06212805462401035               2.250260266955784          1736.823387478944         
30538.02269964767         67824.45444582951         -0.01893063053112176              0.8315292396456548                -0.05696378712941946              0.06212648749864003               2.700969888532573          1956.215176766273         
30538.02539399154         67817.56148063148         -0.01892126153617601              0.8315104929693271                -0.05696632381133843              0.06212530216336576               3.179022057478151          2189.006487268489         
30538.02829069206         67811.30123420327         -0.01891430196807245              0.8314934020944307                -0.05696867263640115              0.06212443971627569               3.692812753149546          2439.281412516721         
30538.03144004575         67805.65084030828         -0.01890932640103613              0.8314779215017861                -0.05697081783076719              0.06212384855517912               4.25126864243034           2711.38557116501          
30538.03489513629         67800.59295674028         -0.01890598608036508              0.8314640181802815                -0.05697274718980795              0.06212348205590534               4.863806179584752          3009.905393840745         
30538.03869954721         67796.12461469075         -0.01890398556055223              0.8314516969442576                -0.05697444800281518              0.06212329717319771               5.538155073946748          3338.606497063302         
30538.04287799625         67792.24639932616         -0.01890305245500674              0.8314409714429002                -0.05697591097126638              0.06212325196908121               6.278700799400331          3699.624493997544         
30538.04744253193         67788.93985245867         -0.01890292562271484              0.8314318017434686                -0.05697713868071178              0.06212330587859326               7.087584489579843          4094.000376784243         
30538.05242282163         67786.15152621079         -0.01890337120694057              0.8314240493639635                -0.05697815064263877              0.06212342344829416               7.970069796069142          4524.297407269478         
30538.05845983179         67783.59602240339         -0.01890430327704599              0.8314169266317321                -0.05697904904413817              0.06212359404510996               9.039728717280152          5045.895085099619         
30538.06457472296         67781.65876570226         -0.01890540984845111              0.8314115145169342                -0.05697970259089876              0.06212376615159548               10.12313051050965          5574.221681873314         
30538.07186179202         67779.94051856248         -0.01890674412213246              0.8314067040715235                -0.05698025318900238              0.06212395086222557               11.41416120374216          6203.824448667001         
30538.07986362875         67778.55882334623         -0.01890811440884568              0.8314028280800819                -0.05698066744720254              0.06212412085197885               12.83178129628346          6895.1831424376           
30538.08859017984         67777.45663468765         -0.01890944619717373              0.8313997306469157                -0.05698097179588382              0.06212426845014849               14.37775684821774          7649.157156154979         
30538.09811436352         67776.57605698395         -0.01891070288943824              0.8313972521357671                -0.05698119134900195              0.06212439132494015               16.0650090765345           8472.046626638621         
30538.10852888607         67775.87043924996         -0.0189118672127877               0.8313952634328441                -0.05698134604057179              0.06212448956720339               17.90996358386757          9371.861374843866         
30538.11993850355         67775.30334913808         -0.01891293292622237              0.8313936634159116                -0.05698145129097353              0.0621245644957501                19.93117969938116          10357.65232482227         
30538.13245838227         67774.84639224765         -0.01891390025440452              0.8313923730746908                -0.0569815190002335               0.06212461803603595               22.14906023575619          11439.36984662432         
30538.14621520706         67774.47730920078         -0.01891477325406057              0.8313913303282485                -0.05698155837631898              0.06212465237257066               24.58604797741353          12627.95950864675         
30538.16134828851         67774.17855978485         -0.01891555812697771              0.8313904861563644                -0.05698157655735732              0.06212466973912321               27.26682194418463          13935.45774542727         
30538.17801083077         67773.93625694336         -0.0189162621496558               0.8313898016778675                -0.05698157908210084              0.06212467229509699               30.21852205536786          15375.10139675578         
30538.19637168963         67773.73935675388         -0.01891689300808909              0.831389245923951                 -0.05698157024705298              0.06212466205474439               33.4710606196349           16961.47960253293         
30538.21661713252         67773.57904607021         -0.01891745837184546              0.8313887941500081                -0.05698155337905928              0.06212464084847295               37.0574341527134           18710.68586767651         
30538.23895295892         67773.44827061126         -0.01891796563798188              0.8313884265292832                -0.05698153104535949              0.06212461030410966               41.01409903442261          20640.50126936054         
30538.26360768417         67773.34136736958         -0.01891842179367388              0.8313881271288007                -0.05698150521554648              0.06212457183828327               45.38153550987448          22770.66953064641         
