model,max_val_accuracy,best_epoch,epochs_trained,final_val_loss,params,memory_mb,training_time_s,early_stopping,lr_reductions
LSTM,99.92,84,95,0.0038,10948,0.083526611328125,2412.2435,True,0
Mamba,99.88,74,100,0.0049,6682,0.0509796142578125,1941.7628,True,0
