Model,Epoch,Validation Accuracy
LSTM,1,25.0
LSTM,2,15.0
LSTM,3,15.0
LSTM,4,36.67
LSTM,5,38.33
LSTM,6,38.33
LSTM,7,36.67
LSTM,8,36.67
LSTM,9,36.67
LSTM,10,40.0
LSTM,11,38.33
LSTM,12,36.67
LSTM,13,38.33
LSTM,14,40.0
LSTM,15,36.67
LSTM,16,25.0
LSTM,17,31.67
LSTM,18,36.67
LSTM,19,38.33
LSTM,20,38.33
LSTM,21,26.67
LSTM,22,38.33
LSTM,23,38.33
LSTM,24,40.0
LSTM,25,36.67
LSTM,26,40.0
LSTM,27,38.33
LSTM,28,38.33
LSTM,29,40.0
LSTM,30,40.0
LSTM,31,38.33
LSTM,32,36.67
LSTM,33,38.33
LSTM,34,31.67
LSTM,35,38.33
LSTM,36,38.33
LSTM,37,38.33
LSTM,38,36.67
LSTM,39,40.0
LSTM,40,33.33
LSTM,41,36.67
LSTM,42,40.0
LSTM,43,38.33
LSTM,44,38.33
LSTM,45,36.67
LSTM,46,38.33
LSTM,47,40.0
LSTM,48,40.0
LSTM,49,36.67
LSTM,50,40.0
LSTM,51,38.33
LSTM,52,40.0
LSTM,53,40.0
LSTM,54,40.0
LSTM,55,38.33
LSTM,56,40.0
LSTM,57,40.0
Mamba,1,23.33
Mamba,2,23.33
Mamba,3,31.67
Mamba,4,38.33
Mamba,5,33.33
Mamba,6,38.33
Mamba,7,51.67
Mamba,8,48.33
Mamba,9,40.0
Mamba,10,40.0
Mamba,11,51.67
Mamba,12,48.33
Mamba,13,45.0
Mamba,14,48.33
Mamba,15,48.33
Mamba,16,43.33
Mamba,17,45.0
Mamba,18,43.33
Mamba,19,38.33
Mamba,20,43.33
Mamba,21,35.0
Mamba,22,46.67
Mamba,23,36.67
Mamba,24,51.67
Mamba,25,38.33
Mamba,26,45.0
Mamba,27,48.33
Mamba,28,45.0
Mamba,29,41.67
Mamba,30,48.33
Mamba,31,50.0
Mamba,32,50.0
Mamba,33,46.67
Mamba,34,48.33
Mamba,35,46.67
Mamba,36,50.0
Mamba,37,45.0
Mamba,38,50.0
Mamba,39,46.67
Mamba,40,51.67
Mamba,41,51.67
Mamba,42,46.67
Mamba,43,48.33
Mamba,44,48.33
Mamba,45,46.67
