model,max_val_accuracy,best_epoch,epochs_trained,final_val_loss,params,memory_mb,training_time_s,early_stopping,lr_reductions,no_thrust_precision,no_thrust_recall,no_thrust_f1,chemical_precision,chemical_recall,chemical_f1,electric_precision,electric_recall,electric_f1,impulsive_precision,impulsive_recall,impulsive_f1,macro_avg_precision,macro_avg_recall,macro_avg_f1,weighted_avg_precision,weighted_avg_recall,weighted_avg_f1,t_no_thrust_precision,t_no_thrust_recall,t_no_thrust_f1,t_chemical_precision,t_chemical_recall,t_chemical_f1,t_electric_precision,t_electric_recall,t_electric_f1,t_impulsive_precision,t_impulsive_recall,t_impulsive_f1
Decision Trees,56.67,1,1,0.8798,0,0.5588951110839844,,False,0,0.25,0.3571,0.2941,0.875,0.9333,0.9032,0.1818,0.1111,0.1379,1.0,1.0,1.0,0.5767,0.6004,0.5838,0.5483,0.5667,0.5525,5.0,1.0,8.0,0.0,14.0,1.0,15.0,1.0,2.0,0.0,0.0,0.0
LSTM,50.0,15,35,0.871,14788,0.112823486328125,1.6997,True,0,0.2979,1.0,0.459,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.3245,0.5,0.3648,0.2862,0.45,0.3238,14.0,0.0,0.0,15.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0
Mamba,51.67,6,19,0.8687,7963,0.06075286865234375,1.9475,True,0,0.3077,0.5714,0.4,0.25,0.3333,0.2857,0.0,0.0,0.0,1.0,1.0,1.0,0.3894,0.4762,0.4214,0.351,0.4333,0.3814,8.0,5.0,1.0,10.0,5.0,0.0,8.0,10.0,0.0,0.0,0.0,0.0
