Model,label,precision,recall,f1,support
LSTM,no_thrust,0.0,0.0,0.0,15
LSTM,chemical,0.6667,0.1333,0.2222,15
LSTM,electric,0.2895,1.0,0.449,11
LSTM,impulsive,1.0,1.0,1.0,19
LSTM,macro_avg,0.489,0.5333,0.4178,60
LSTM,weighted_avg,0.5364,0.5333,0.4545,60
LSTM,t_no_thrust,0.0,1.0,14.0,0
LSTM,t_chemical,0.0,2.0,13.0,0
LSTM,t_electric,0.0,0.0,11.0,0
LSTM,t_impulsive,0.0,0.0,0.0,19
Mamba,no_thrust,0.0,0.0,0.0,15
Mamba,chemical,0.3333,0.0667,0.1111,15
Mamba,electric,0.2632,0.9091,0.4082,11
Mamba,impulsive,1.0,1.0,1.0,19
Mamba,macro_avg,0.3991,0.4939,0.3798,60
Mamba,weighted_avg,0.4482,0.5,0.4193,60
Mamba,t_no_thrust,0.0,1.0,14.0,0
Mamba,t_chemical,0.0,1.0,14.0,0
Mamba,t_electric,0.0,1.0,10.0,0
Mamba,t_impulsive,0.0,0.0,0.0,19
