Model,Epoch,Validation Accuracy
LSTM,1.0,23.33
LSTM,2.0,45.0
LSTM,3.0,45.0
LSTM,4.0,45.0
LSTM,5.0,45.0
LSTM,6.0,45.0
LSTM,7.0,45.0
LSTM,8.0,45.0
LSTM,9.0,45.0
LSTM,10.0,45.0
LSTM,11.0,45.0
LSTM,12.0,45.0
LSTM,13.0,48.33
LSTM,14.0,45.0
LSTM,15.0,50.0
LSTM,16.0,45.0
LSTM,17.0,46.67
LSTM,18.0,45.0
LSTM,19.0,45.0
LSTM,20.0,45.0
LSTM,21.0,50.0
LSTM,22.0,45.0
LSTM,23.0,45.0
LSTM,24.0,50.0
LSTM,25.0,45.0
LSTM,26.0,45.0
LSTM,27.0,45.0
LSTM,28.0,45.0
LSTM,29.0,45.0
LSTM,30.0,45.0
LSTM,31.0,45.0
LSTM,32.0,45.0
LSTM,33.0,45.0
LSTM,34.0,45.0
Mamba,1.0,21.67
Mamba,2.0,21.67
Mamba,3.0,28.33
Mamba,4.0,45.0
Mamba,5.0,45.0
Mamba,6.0,51.67
Mamba,7.0,50.0
Mamba,8.0,50.0
Mamba,9.0,45.0
Mamba,10.0,48.33
Mamba,11.0,50.0
Mamba,12.0,51.67
Mamba,13.0,45.0
Mamba,14.0,46.67
Mamba,15.0,45.0
Mamba,16.0,48.33
Mamba,17.0,43.33
Mamba,18.0,43.33
