Model,Epoch,Validation Accuracy
LSTM,1,74.68
LSTM,2,75.13
LSTM,3,75.13
LSTM,4,74.98
LSTM,5,75.13
LSTM,6,75.25
LSTM,7,75.13
LSTM,8,75.13
LSTM,9,75.25
LSTM,10,75.13
LSTM,11,75.2
LSTM,12,75.73
LSTM,13,75.13
LSTM,14,75.25
LSTM,15,77.23
LSTM,16,75.13
LSTM,17,75.25
LSTM,18,75.25
LSTM,19,75.13
LSTM,20,75.13
LSTM,21,75.25
LSTM,22,75.25
LSTM,23,75.25
LSTM,24,75.25
LSTM,25,75.25
Mamba,1,24.75
Mamba,2,24.75
Mamba,3,24.58
Mamba,4,25.8
Mamba,5,24.58
Mamba,6,24.87
Mamba,7,24.87
Mamba,8,24.87
Mamba,9,24.75
Mamba,10,25.8
Mamba,11,24.75
Mamba,12,24.87
Mamba,13,24.75
Mamba,14,24.75
