x,y,z,vx,vy,vz
20539.76367274912,29037.052585227793,6.165469135253667e-08,0.06247205498125046,0.08531773644171856,2.2131541500047984e-13
18225.880878732536,17897.210034626638,6.572483627391569e-08,0.06672330745217643,0.04636622340384958,2.0880255492584127e-13
8978.474455822872,9427.394550305167,3.653452762081521e-08,0.04689618893423238,0.04105109527627182,1.3850690257835005e-13
24079.7878278176,23299.820205323154,5.001132578876595e-08,0.061652510048350435,0.10264279119644343,2.240700702868069e-13
8442.04403061575,9725.93306506207,1.1041362289860786e-07,0.07470732318210026,0.04424274566241047,2.9392438495505826e-13
15112.751505193228,16541.462532441394,5.59822082415353e-08,0.05707972553485529,0.03924332082496127,3.306935371876655e-13
10551.013745908213,11287.282489584099,5.459262984460054e-08,0.05349242700484062,0.05116014979877812,2.1459148942458912e-13
20701.611889756266,12633.51133113439,8.4594492891493e-08,0.08981426154460767,0.04921046938350653,9.60373694821447e-14
6431.559739932261,6066.899323213364,3.5463568365860304e-08,0.03871420564050092,0.03370857903803745,2.006623519786279e-13
15755.424228472233,12416.081725150136,1.2653862153123007e-07,0.07719556052201222,0.05224619780073883,2.654469949831337e-13
12099.862281352342,14140.763738575759,4.397494881035219e-08,0.08411002936107759,0.033145593591740234,1.6154416961268644e-13
17921.68359211409,17917.49466983348,3.9868880342504025e-08,0.09340643413237246,0.06587640494896994,1.3271612031615122e-13
12052.571012210232,8530.20668938304,3.405483241021791e-08,0.05490771079503797,0.05599871085857828,1.9121386495559408e-13
9932.941430615869,10443.118418253083,6.616925499633122e-08,0.07066336824089967,0.03566992474790097,1.001033251349135e-13
22756.672398090122,56478.53377196169,4.47731681486058e-08,0.04516115142499145,0.15209766956500195,7.875970717005383e-14
12005.239182051666,9817.913204139788,8.501039701583446e-08,0.03793143297204388,0.0377304154170111,2.3461054154612706e-13
14051.13189267155,14184.00653386013,5.207041972775053e-08,0.04321161033412271,0.029285393238307436,1.3283315610514366e-13
11298.85889773636,15703.309133475095,4.3632675347528906e-08,0.05660865918020571,0.05839697510332458,1.2859482595850096e-13
8405.996147380427,10752.007221441303,2.4476309774899244e-08,0.05444607173280739,0.056342627416712546,1.1005058984297768e-13
11178.789654153175,15887.206006336392,3.8551737465221893e-08,0.06754689609423993,0.10150222699812672,3.30307866086751e-13
11570.970828775546,22494.420901044516,3.708805894288849e-08,0.07609445102091311,0.07958603331489106,1.433315850193881e-13
15447.133714448348,13786.163436064455,5.853980590116155e-08,0.03438439707104986,0.0407739063285299,1.0525977882059972e-13
16830.334359924935,11125.922857117755,3.879359032311446e-08,0.09679422685452933,0.06424434800742375,6.099146219503917e-14
17550.27832693963,21364.62517394058,8.154359013740058e-08,0.10174008337531426,0.07060149418495024,1.3795697739565558e-13
9910.648514239952,9875.362865902123,5.531688389367836e-08,0.04600294513908385,0.058588960009847625,1.1359363120231175e-13
21340.967582041198,18133.881841130224,2.8210517676883528e-08,0.0762233056664533,0.11017125573186703,1.3430800818411525e-13
12680.027395017914,13293.77533061196,1.007082684619103e-07,0.07684723858050664,0.07025047837119028,1.8770961718977744e-13
11394.566822921117,9401.919543720882,6.862729111703755e-08,0.03456469150805333,0.08181235821965865,2.6491287641242324e-13
17431.78963137384,29650.710229497185,1.5271033541724083e-07,0.053973274543514166,0.0729394477685884,2.866609346840172e-13
9219.7701688633,9419.656077868227,4.71870983167653e-08,0.059078661174613974,0.03588793437455241,1.1664098648967412e-13
15859.18224563161,10360.517202004017,5.477760872631661e-08,0.04176404029167195,0.0646689547703766,6.148359494935962e-14
8520.1519302878,10326.619768000415,7.237453810691201e-08,0.05945598246112691,0.05106973265324477,2.0109102741931115e-13
13992.465239451383,17224.037486256588,2.811010961622339e-08,0.07522924995683081,0.07314955119189939,3.399924942475331e-13
8798.801166596348,16559.11658631254,7.736237025369163e-08,0.044396477294972994,0.032883541579113516,1.324855730907043e-13
17885.2768019701,13172.959735116603,4.8784139899320175e-08,0.04303089055771112,0.0422565006740724,1.8593776046322297e-13
15038.416685683726,8213.265304174716,1.0851766644347127e-07,0.048611541202968366,0.06447838819605671,1.4372127309232006e-13
8936.642402644355,13114.461267601055,5.503898399572736e-08,0.05531464712770869,0.09475711297403829,3.0670763405880654e-13
9852.328328786884,7217.669408389721,5.747289914216238e-08,0.07258284179232379,0.06109325535837065,1.2713072121041944e-13
11283.610856584766,13716.427178706055,7.703603949939906e-08,0.04997294512935738,0.09941736578576002,1.272234258192866e-13
31577.87946378462,18831.097245917194,7.492181557844198e-08,0.06909017221813245,0.05442794677821206,1.3656574598842771e-13
27696.194502710874,14981.228168792237,7.622272848927015e-08,0.06642785513184396,0.0708075087110746,2.59721226185759e-13
24142.211653075934,38259.97755303688,5.220546486581855e-08,0.06444675336465576,0.05747140340645991,1.6240499618262822e-13
12090.188425882174,21586.73802653999,3.208848386883809e-08,0.102271261919382,0.05621045873750913,1.290291804800008e-13
22174.178035055374,11870.62118532158,7.824013564556615e-08,0.0432209545909466,0.08725574185592887,1.113874510844774e-13
9462.057107024944,13651.141908229634,1.5533670726924017e-07,0.05332912553577002,0.04779678731397799,1.6802457355898937e-13
25760.26663419497,26430.928657841414,3.387601659724979e-08,0.08377988723538847,0.08122002137191855,2.824799420215237e-13
14737.875901007084,23313.529777681862,3.5480821944972704e-08,0.08721328466582044,0.04683129226152909,1.7238205982696466e-13
20723.571869545623,10505.761064453633,5.707071675327749e-08,0.07294547899382164,0.06787587536008088,2.5888257861118513e-13
