Model,Epoch,Validation Accuracy
LSTM,1.0,52.97
LSTM,2.0,57.52
LSTM,3.0,69.93
LSTM,4.0,72.2
LSTM,5.0,64.27
LSTM,6.0,75.07
LSTM,7.0,74.17
LSTM,8.0,75.85
LSTM,9.0,76.5
LSTM,10.0,71.7
LSTM,11.0,76.3
LSTM,12.0,75.67
LSTM,13.0,74.8
LSTM,14.0,76.32
LSTM,15.0,76.67
LSTM,16.0,75.15
LSTM,17.0,75.68
LSTM,18.0,73.42
LSTM,19.0,75.28
LSTM,20.0,76.42
LSTM,21.0,74.85
LSTM,22.0,75.95
LSTM,23.0,77.37
LSTM,24.0,74.75
Mamba,1.0,75.03
Mamba,2.0,74.77
Mamba,3.0,76.17
Mamba,4.0,75.78
Mamba,5.0,75.18
Mamba,6.0,76.23
Mamba,7.0,75.22
Mamba,8.0,74.48
Mamba,9.0,77.07
Mamba,10.0,74.87
Mamba,11.0,76.33
Mamba,12.0,75.38
Mamba,13.0,76.12
Mamba,14.0,74.83
Mamba,15.0,76.8
Mamba,16.0,75.75
Mamba,17.0,75.97
Mamba,18.0,75.03
Mamba,19.0,75.03
Mamba,20.0,74.93
Mamba,21.0,75.33
Mamba,22.0,77.27
Mamba,23.0,75.55
Mamba,24.0,74.8
Mamba,25.0,76.02
Mamba,26.0,76.7
Mamba,27.0,75.4
Mamba,28.0,77.5
Mamba,29.0,75.58
Mamba,30.0,77.13
Mamba,31.0,76.68
Mamba,32.0,78.25
Mamba,33.0,77.48
Mamba,34.0,80.2
Mamba,35.0,77.53
Mamba,36.0,81.2
Mamba,37.0,77.5
Mamba,38.0,80.93
Mamba,39.0,82.13
Mamba,40.0,75.17
Mamba,41.0,77.98
Mamba,42.0,79.48
Mamba,43.0,81.9
Mamba,44.0,77.83
Mamba,45.0,77.82
Mamba,46.0,83.03
Mamba,47.0,80.57
Mamba,48.0,79.27
Mamba,49.0,82.83
Mamba,50.0,86.87
Mamba,51.0,74.78
Mamba,52.0,85.38
Mamba,53.0,84.97
Mamba,54.0,82.47
Mamba,55.0,81.42
Mamba,56.0,86.32
Mamba,57.0,78.02
Mamba,58.0,82.48
Mamba,59.0,86.18
Mamba,60.0,80.38
Mamba,61.0,88.98
Mamba,62.0,88.38
Mamba,63.0,85.98
Mamba,64.0,84.9
Mamba,65.0,87.9
Mamba,66.0,87.18
Mamba,67.0,88.97
Mamba,68.0,89.32
Mamba,69.0,89.23
Mamba,70.0,85.7
Mamba,71.0,86.58
Mamba,72.0,87.87
Mamba,73.0,89.08
Mamba,74.0,88.93
Mamba,75.0,87.53
Mamba,76.0,85.3
Mamba,77.0,87.57
Mamba,78.0,89.97
Mamba,79.0,89.12
Mamba,80.0,89.52
Mamba,81.0,82.78
Mamba,82.0,83.4
Mamba,83.0,88.63
Mamba,84.0,89.7
Mamba,85.0,90.23
Mamba,86.0,90.08
Mamba,87.0,90.15
Mamba,88.0,87.42
Mamba,89.0,89.32
Mamba,90.0,89.23
Mamba,91.0,90.33
Mamba,92.0,89.95
Mamba,93.0,90.35
Mamba,94.0,89.8
Mamba,95.0,88.8
Mamba,96.0,87.87
Mamba,97.0,90.03
Mamba,98.0,82.25
Mamba,99.0,90.52
Mamba,100.0,89.95
