model,max_val_accuracy,best_epoch,epochs_trained,final_val_loss,params,memory_mb,training_time_s,early_stopping,lr_reductions,no_thrust_precision,no_thrust_recall,no_thrust_f1,chemical_precision,chemical_recall,chemical_f1,electric_precision,electric_recall,electric_f1,impulsive_precision,impulsive_recall,impulsive_f1,macro_avg_precision,macro_avg_recall,macro_avg_f1,weighted_avg_precision,weighted_avg_recall,weighted_avg_f1,t_no_thrust_precision,t_no_thrust_recall,t_no_thrust_f1,t_chemical_precision,t_chemical_recall,t_chemical_f1,t_electric_precision,t_electric_recall,t_electric_f1,t_impulsive_precision,t_impulsive_recall,t_impulsive_f1
Decision Trees,66.67,1,1,2.1775,0,2.305124282836914,,False,0,0.2381,0.5556,0.3333,1.0,1.0,1.0,0.5,0.2,0.2857,1.0,1.0,1.0,0.6845,0.6889,0.6548,0.719,0.6667,0.6619,5.0,0.0,4.0,0.0,11.0,0.0,16.0,0.0,4.0,0.0,0.0,0.0
LSTM,63.33,25,59,0.4787,14788,0.112823486328125,6.1892,True,0,0.2308,0.6667,0.3429,0.7857,1.0,0.88,0.0,0.0,0.0,1.0,1.0,1.0,0.5041,0.6667,0.5557,0.512,0.6167,0.5461,6.0,3.0,0.0,0.0,11.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
Mamba,78.33,22,28,0.4763,7963,0.06075286865234375,3.6763,True,0,0.2759,0.8889,0.4211,1.0,0.9091,0.9524,0.0,0.0,0.0,1.0,1.0,1.0,0.569,0.6995,0.5934,0.558,0.6333,0.5711,8.0,0.0,1.0,1.0,10.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
