model,max_val_accuracy,best_epoch,epochs_trained,final_val_loss,params,memory_mb,training_time_s,early_stopping,lr_reductions,no_thrust_precision,no_thrust_recall,no_thrust_f1,chemical_precision,chemical_recall,chemical_f1,electric_precision,electric_recall,electric_f1,impulsive_precision,impulsive_recall,impulsive_f1,macro_avg_precision,macro_avg_recall,macro_avg_f1,weighted_avg_precision,weighted_avg_recall,weighted_avg_f1,t_no_thrust_precision,t_no_thrust_recall,t_no_thrust_f1,t_chemical_precision,t_chemical_recall,t_chemical_f1,t_electric_precision,t_electric_recall,t_electric_f1,t_impulsive_precision,t_impulsive_recall,t_impulsive_f1
LSTM,78.33,21,52,0.3677,14788,0.112823486328125,14.9494,True,0,0.4138,0.9231,0.5714,1.0,1.0,1.0,0.5,0.0556,0.1,1.0,1.0,1.0,0.7284,0.7447,0.6679,0.723,0.7,0.6371,12.0,0.0,1.0,0.0,13.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0
Mamba,78.33,14,45,0.3697,7963,0.06075286865234375,9.1356,True,0,0.3333,0.2308,0.2727,1.0,1.0,1.0,0.5455,0.6667,0.6,1.0,1.0,1.0,0.7197,0.7244,0.7182,0.7192,0.7333,0.7224,3.0,0.0,10.0,0.0,13.0,0.0,6.0,0.0,12.0,0.0,0.0,0.0
